time_series,ini,Demanda real suma de generación SNP,Generación T.Real hidráulica SNP,Generación T.Real solar fotovoltaica SNP,Generación T.Real turbina de vapor SNP,Generación T.Real ciclo combinado SNP,Generación T.Real eólica SNP,Generación T.Real turbina de gas SNP,Generación T.Real motores diésel SNP,Demanda programada SNP,Demanda Real SNP,Precio medio de la generación en los SNP por subsistema,Precio medio de la demanda en los SNP por subsistema
2019-12-31 00:00:00,,356.4,0.0,0.0,111.5,182.2,44.2,0.0,18.5,338.4,355.7,132.22,36.87
2019-12-31 00:10:00,,352.0,0.0,0.0,111.3,187.6,45.0,0.0,8.1,338.4,352.0,,
2019-12-31 00:20:00,,345.5,0.0,0.0,117.5,187.2,40.8,0.0,0.0,338.4,347.5,,
2019-12-31 00:30:00,,340.5,0.0,0.0,126.4,176.3,37.8,0.0,0.0,338.4,340.8,,
2019-12-31 00:40:00,,332.5,0.0,0.0,126.6,171.3,34.6,0.0,0.0,338.4,332.9,,
2019-12-31 00:50:00,,325.7,0.0,0.0,128.8,164.6,32.3,0.0,0.0,338.4,325.6,,
2019-12-31 01:00:00,,320.7,0.0,0.0,130.7,162.0,28.0,0.0,0.0,306.1,321.6,137.04,33.85
2019-12-31 01:10:00,,316.8,0.0,0.0,131.9,159.5,25.4,0.0,0.0,306.1,316.6,,
2019-12-31 01:20:00,,312.5,0.0,0.0,131.6,154.8,26.1,0.0,0.0,306.1,313.5,,
2019-12-31 01:30:00,,304.7,0.0,0.0,127.9,147.4,29.4,0.0,0.0,306.1,304.4,,
2019-12-31 01:40:00,,304.5,0.0,0.0,121.0,154.1,29.4,0.0,0.0,306.1,304.6,,
2019-12-31 01:50:00,,302.1,0.0,0.0,119.9,153.7,28.5,0.0,0.0,306.1,301.8,,
2019-12-31 02:00:00,,299.2,0.0,0.0,118.7,154.7,25.8,0.0,0.0,291.1,300.2,139.52,31.81
2019-12-31 02:10:00,,296.7,0.0,0.0,117.6,154.3,24.8,0.0,0.0,291.1,297.1,,
2019-12-31 02:20:00,,295.0,0.0,0.0,116.5,150.1,28.4,0.0,0.0,291.1,295.1,,
2019-12-31 02:30:00,,292.0,0.0,0.0,115.2,152.8,24.0,0.0,0.0,291.1,290.6,,
2019-12-31 02:40:00,,290.0,0.0,0.0,114.6,153.4,22.0,0.0,0.0,291.1,289.3,,
2019-12-31 02:50:00,,287.6,0.0,0.0,116.4,150.8,20.4,0.0,0.0,291.1,288.0,,
2019-12-31 03:00:00,,286.0,0.0,0.0,113.0,151.9,21.1,0.0,0.0,283.2,285.0,139.18,30.97
2019-12-31 03:10:00,,285.6,0.0,0.0,111.0,151.2,23.4,0.0,0.0,283.2,285.5,,
2019-12-31 03:20:00,,285.7,0.0,0.0,109.1,150.6,26.0,0.0,0.0,283.2,286.6,,
2019-12-31 03:30:00,,283.0,0.0,0.0,106.7,150.5,25.8,0.0,0.0,283.2,282.9,,
2019-12-31 03:40:00,,283.6,0.0,0.0,107.7,151.1,24.8,0.0,0.0,283.2,283.8,,
2019-12-31 03:50:00,,281.2,0.0,0.0,106.3,147.1,27.8,0.0,0.0,283.2,281.2,,
2019-12-31 04:00:00,,281.7,0.0,0.0,103.6,146.1,32.0,0.0,0.0,280.8,281.9,134.37,30.87
2019-12-31 04:10:00,,283.1,0.0,0.0,102.1,146.6,34.4,0.0,0.0,280.8,282.0,,
2019-12-31 04:20:00,,281.6,0.0,0.0,98.6,140.9,42.1,0.0,0.0,280.8,280.9,,
2019-12-31 04:30:00,,282.3,0.0,0.0,96.1,140.6,45.6,0.0,0.0,280.8,283.2,,
2019-12-31 04:40:00,,284.1,0.0,0.0,96.9,143.5,43.7,0.0,0.0,280.8,284.3,,
2019-12-31 04:50:00,,286.4,0.0,0.0,100.4,150.4,35.6,0.0,0.0,280.8,284.9,,
2019-12-31 05:00:00,,289.5,0.0,0.0,105.2,151.2,33.1,0.0,0.0,293.8,289.8,110.99,31.78
2019-12-31 05:10:00,,292.4,0.0,0.0,106.5,148.9,37.0,0.0,0.0,293.8,293.3,,
2019-12-31 05:20:00,,294.7,0.0,0.0,100.0,156.8,37.9,0.0,0.0,293.8,296.8,,
2019-12-31 05:30:00,,294.3,0.0,0.0,89.7,160.3,44.3,0.0,0.0,293.8,296.1,,
2019-12-31 05:40:00,,297.2,0.0,0.0,71.3,174.8,51.1,0.0,0.0,293.8,297.7,,
2019-12-31 05:50:00,,300.5,0.0,0.0,57.2,197.0,46.3,0.0,0.0,293.8,301.3,,
2019-12-31 06:00:00,,308.2,0.0,0.0,58.9,200.3,49.0,0.0,0.0,319.1,307.3,131.62,33.62
2019-12-31 06:10:00,,315.4,0.0,0.0,59.4,213.1,42.9,0.0,0.0,319.1,313.9,,
2019-12-31 06:20:00,,319.6,0.0,0.0,59.7,215.5,44.4,0.0,0.0,319.1,318.2,,
2019-12-31 06:30:00,,321.6,0.0,0.0,59.8,217.4,44.4,0.0,0.0,319.1,321.6,,
2019-12-31 06:40:00,,328.6,0.0,0.0,59.7,218.7,50.2,0.0,0.0,319.1,329.0,,
2019-12-31 06:50:00,,335.7,0.0,0.0,59.8,224.1,51.8,0.0,0.0,319.1,335.1,,
2019-12-31 07:00:00,,343.6,0.0,0.0,60.0,229.3,54.3,0.0,0.0,356.7,342.9,142.13,36.92
2019-12-31 07:10:00,,353.5,0.0,0.0,63.8,234.8,50.1,0.0,4.8,356.7,353.7,,
2019-12-31 07:20:00,,361.3,0.0,0.0,66.1,234.7,53.5,0.0,7.0,356.7,362.0,,
2019-12-31 07:30:00,,366.8,0.0,0.0,70.1,237.0,50.5,0.0,9.2,356.7,366.3,,
2019-12-31 07:40:00,,375.4,0.0,0.0,74.6,237.0,52.6,0.0,11.2,356.7,378.0,,
2019-12-31 07:50:00,,370.1,0.0,0.0,72.9,232.1,45.3,0.0,19.8,356.7,369.9,,
2019-12-31 08:00:00,,377.2,0.0,0.0,69.9,235.0,45.5,0.0,26.8,412.3,377.7,128.03,42.79
2019-12-31 08:10:00,,390.4,0.0,0.2,70.9,238.5,44.3,0.0,36.5,412.3,391.6,,
2019-12-31 08:20:00,,400.5,0.0,1.6,79.5,242.2,40.5,0.0,36.7,412.3,401.6,,
2019-12-31 08:30:00,,412.0,0.0,4.9,87.4,239.3,43.8,0.0,36.6,412.3,412.0,,
2019-12-31 08:40:00,,422.8,0.0,8.2,88.7,241.3,48.1,0.0,36.5,412.3,422.8,,
2019-12-31 08:50:00,,431.0,0.0,11.9,91.5,238.7,52.6,0.0,36.3,412.3,430.0,,
2019-12-31 09:00:00,,439.3,0.0,16.0,89.6,231.5,54.8,10.1,37.3,469.3,439.9,118.6,48.03
2019-12-31 09:10:00,,454.1,0.0,20.3,80.1,233.5,62.9,20.1,37.2,469.3,452.5,,
2019-12-31 09:20:00,,461.5,0.0,25.8,70.7,231.4,65.6,30.6,37.4,469.3,462.6,,
2019-12-31 09:30:00,,469.9,0.0,29.7,61.9,228.9,76.1,35.7,37.6,469.3,469.4,,
2019-12-31 09:40:00,,474.2,0.0,33.8,69.0,237.5,80.7,17.1,36.1,469.3,473.6,,
2019-12-31 09:50:00,,482.3,0.0,38.0,76.6,231.7,83.7,14.9,37.4,469.3,482.7,,
2019-12-31 10:00:00,,486.6,0.0,41.4,81.6,231.8,81.2,14.5,36.1,493.1,485.1,114.83,50.3
2019-12-31 10:10:00,,492.1,0.0,44.8,78.5,225.8,93.0,14.0,36.0,493.1,491.0,,
2019-12-31 10:20:00,,493.9,0.0,48.1,84.3,239.4,85.8,0.0,36.3,493.1,493.8,,
2019-12-31 10:30:00,,492.4,0.0,51.9,88.4,239.1,76.3,0.0,36.7,493.1,493.1,,
2019-12-31 10:40:00,,491.1,0.0,55.6,87.0,232.3,80.5,0.0,35.7,493.1,494.1,,
2019-12-31 10:50:00,,493.0,0.0,58.6,86.8,233.7,77.7,0.0,36.2,493.1,493.8,,
2019-12-31 11:00:00,,492.3,0.0,61.1,86.2,231.8,77.4,0.0,35.8,490.4,491.6,115.22,50.96
2019-12-31 11:10:00,,493.0,0.0,63.3,89.0,241.1,63.9,0.0,35.7,490.4,493.3,,
2019-12-31 11:20:00,,492.5,0.0,65.3,89.9,237.3,64.7,0.0,35.3,490.4,492.8,,
2019-12-31 11:30:00,,492.4,0.0,67.4,87.3,237.0,64.6,0.0,36.1,490.4,492.4,,
2019-12-31 11:40:00,,490.7,0.0,69.6,89.7,238.1,57.6,0.0,35.7,490.4,491.0,,
2019-12-31 11:50:00,,492.5,0.0,71.1,92.5,238.2,54.5,0.0,36.2,490.4,491.9,,
2019-12-31 12:00:00,,489.2,0.0,72.0,95.3,238.8,46.7,0.0,36.4,484.6,489.0,117.31,51.31
2019-12-31 12:10:00,,490.5,0.0,73.2,97.0,239.2,45.0,0.0,36.1,484.6,487.7,,
2019-12-31 12:20:00,,490.4,0.0,74.2,99.8,239.1,40.5,0.0,36.8,484.6,491.7,,
2019-12-31 12:30:00,,485.4,0.0,73.5,99.9,237.9,36.6,0.0,37.5,484.6,485.3,,
2019-12-31 12:40:00,,488.4,0.0,74.7,102.8,241.5,34.1,0.0,35.3,484.6,490.3,,
2019-12-31 12:50:00,,490.8,0.0,74.1,104.1,242.6,34.2,0.0,35.8,484.6,490.1,,
2019-12-31 13:00:00,,489.9,0.0,75.0,103.9,240.5,33.9,0.0,36.6,492.8,489.9,118.98,51.5
2019-12-31 13:10:00,,488.9,0.0,74.7,105.2,240.7,31.3,0.0,37.0,492.8,489.5,,
2019-12-31 13:20:00,,492.1,0.0,75.3,108.9,246.4,24.9,0.0,36.6,492.8,491.8,,
2019-12-31 13:30:00,,492.4,0.0,75.0,113.2,246.6,20.9,0.0,36.7,492.8,492.4,,
2019-12-31 13:40:00,,492.5,0.0,74.6,116.2,246.5,18.2,0.0,37.0,492.8,492.8,,
2019-12-31 13:50:00,,492.2,0.0,73.7,119.0,245.4,18.2,0.0,35.9,492.8,492.9,,
2019-12-31 14:00:00,,489.3,0.0,72.6,118.1,243.9,18.2,0.0,36.5,482.1,489.6,120.47,49.9
2019-12-31 14:10:00,,487.5,0.0,71.3,118.0,243.8,18.4,0.0,36.0,482.1,486.9,,
2019-12-31 14:20:00,,485.7,0.0,69.4,114.6,243.4,21.4,0.0,36.9,482.1,485.1,,
2019-12-31 14:30:00,,482.7,0.0,68.5,114.2,243.1,20.8,0.0,36.1,482.1,482.7,,
2019-12-31 14:40:00,,477.2,0.0,67.2,111.7,240.9,20.9,0.0,36.5,482.1,477.4,,
2019-12-31 14:50:00,,474.8,0.0,65.4,112.8,239.6,20.2,0.0,36.8,482.1,474.6,,
2019-12-31 15:00:00,,468.5,0.0,63.3,116.7,233.7,18.1,0.0,36.7,459.4,469.9,124.25,48.24
2019-12-31 15:10:00,,465.5,0.0,60.8,119.3,231.6,17.9,0.0,35.9,459.4,465.0,,
2019-12-31 15:20:00,,459.3,0.0,58.0,117.3,230.9,16.1,0.0,37.0,459.4,460.4,,
2019-12-31 15:30:00,,459.4,0.0,54.8,114.4,237.6,15.3,0.0,37.3,459.4,458.6,,
2019-12-31 15:40:00,,453.1,0.0,50.9,115.8,237.5,12.5,0.0,36.4,459.4,454.0,,
2019-12-31 15:50:00,,453.6,0.0,47.7,119.2,242.2,7.9,0.0,36.6,459.4,453.8,,
2019-12-31 16:00:00,,451.1,0.0,44.0,122.7,241.9,6.0,0.0,36.5,450.9,450.8,158.27,47.84
2019-12-31 16:10:00,,451.3,0.0,41.3,124.5,244.6,5.0,0.0,35.9,450.9,451.6,,
2019-12-31 16:20:00,,453.0,0.0,37.8,127.8,246.1,4.2,0.0,37.1,450.9,452.4,,
2019-12-31 16:30:00,,452.5,0.0,33.8,129.2,249.0,3.6,0.0,36.9,450.9,452.5,,
2019-12-31 16:40:00,,452.3,0.0,30.0,139.5,242.7,3.3,0.0,36.8,450.9,452.3,,
2019-12-31 16:50:00,,456.0,0.0,25.8,141.0,250.6,2.4,0.0,36.2,450.9,455.5,,
2019-12-31 17:00:00,,455.3,0.0,21.4,140.0,256.2,1.5,0.0,36.2,463.6,455.0,136.64,50.29
2019-12-31 17:10:00,,459.7,0.0,16.9,137.6,267.3,1.3,0.0,36.6,463.6,460.5,,
2019-12-31 17:20:00,,457.3,0.0,12.9,139.9,266.6,1.2,0.0,36.7,463.6,457.4,,
2019-12-31 17:30:00,,461.0,0.0,9.2,141.7,272.2,1.1,0.0,36.8,463.6,459.5,,
2019-12-31 17:40:00,,464.3,0.0,5.4,141.8,279.2,0.6,0.0,37.3,463.6,463.8,,
2019-12-31 17:50:00,,468.4,0.0,2.1,141.4,287.2,0.2,0.0,37.5,463.6,468.8,,
2019-12-31 18:00:00,,474.2,0.0,0.6,141.6,285.6,0.2,9.1,37.1,506.2,474.8,149.64,56.92
2019-12-31 18:10:00,,482.2,0.0,0.1,141.8,293.7,0.3,9.3,37.0,506.2,481.4,,
2019-12-31 18:20:00,,491.1,0.0,0.0,141.7,303.0,0.3,9.2,36.9,506.2,490.3,,
2019-12-31 18:30:00,,509.4,0.0,0.0,142.3,321.6,0.3,9.7,35.5,506.2,509.6,,
2019-12-31 18:40:00,,526.7,0.0,0.0,142.4,337.6,0.3,9.5,36.9,506.2,526.7,,
2019-12-31 18:50:00,,537.6,0.0,0.0,142.4,329.1,0.3,28.4,37.4,506.2,537.8,,
2019-12-31 19:00:00,,543.1,0.0,0.0,142.2,329.7,0.4,33.8,37.0,552.9,543.1,141.56,59.53
2019-12-31 19:10:00,,546.6,0.0,0.0,142.2,333.1,0.3,34.0,37.0,552.9,547.0,,
2019-12-31 19:20:00,,550.2,0.0,0.0,142.3,337.4,0.2,33.9,36.4,552.9,550.1,,
2019-12-31 19:30:00,,551.1,0.0,0.0,142.3,338.5,0.2,33.5,36.6,552.9,551.0,,
2019-12-31 19:40:00,,550.7,0.0,0.0,142.4,337.1,0.2,33.9,37.1,552.9,550.8,,
2019-12-31 19:50:00,,548.0,0.0,0.0,142.2,333.0,0.2,36.0,36.6,552.9,546.9,,
2019-12-31 20:00:00,,545.6,0.0,0.0,142.2,332.3,0.2,34.2,36.7,528.1,546.1,141.14,56.82
2019-12-31 20:10:00,,541.9,0.0,0.0,142.2,328.2,0.2,34.3,37.0,528.1,540.6,,
2019-12-31 20:20:00,,534.7,0.0,0.0,142.3,321.5,0.2,34.0,36.7,528.1,534.9,,
2019-12-31 20:30:00,,525.9,0.0,0.0,142.2,326.8,0.2,19.7,37.0,528.1,525.9,,
2019-12-31 20:40:00,,519.3,0.0,0.0,142.4,321.9,0.2,18.0,36.8,528.1,519.7,,
2019-12-31 20:50:00,,512.7,0.0,0.0,142.1,314.8,0.3,18.6,36.9,528.1,511.7,,
2019-12-31 21:00:00,,504.7,0.0,0.0,142.3,308.0,0.2,18.0,36.2,472.8,504.1,136.11,51.4
2019-12-31 21:10:00,,492.4,0.0,0.0,142.1,304.9,0.2,9.0,36.2,472.8,492.5,,
2019-12-31 21:20:00,,480.9,0.0,0.0,142.0,302.5,0.2,0.0,36.2,472.8,480.9,,
2019-12-31 21:30:00,,469.8,0.0,0.0,140.4,293.0,0.2,0.0,36.2,472.8,469.0,,
2019-12-31 21:40:00,,456.2,0.0,0.0,133.1,286.7,0.2,0.0,36.2,472.8,456.2,,
2019-12-31 21:50:00,,442.6,0.0,0.0,137.5,272.5,0.2,0.0,32.4,472.8,443.1,,
2019-12-31 22:00:00,,431.1,0.0,0.0,136.5,262.9,0.2,0.0,31.5,411.0,431.4,138.08,44.45
2019-12-31 22:10:00,,419.2,0.0,0.0,135.1,252.4,0.2,0.0,31.5,411.0,419.2,,
2019-12-31 22:20:00,,406.1,0.0,0.0,130.2,245.0,0.2,0.0,30.7,411.0,406.6,,
2019-12-31 22:30:00,,398.2,0.0,0.0,130.2,236.2,0.2,0.0,31.6,411.0,397.4,,
2019-12-31 22:40:00,,390.6,0.0,0.0,132.7,227.5,0.2,0.0,30.2,411.0,390.6,,
2019-12-31 22:50:00,,383.1,0.0,0.0,121.0,231.4,0.5,0.0,30.2,411.0,384.5,,
2019-12-31 23:00:00,,377.8,0.0,0.0,107.1,239.1,1.1,0.0,30.5,370.1,378.0,140.89,40.89
2019-12-31 23:10:00,,373.7,0.0,0.0,95.4,245.1,2.3,0.0,30.9,370.1,374.7,,
2019-12-31 23:20:00,,370.4,0.0,0.0,85.5,251.7,2.4,0.0,30.8,370.1,370.9,,
2019-12-31 23:30:00,,365.3,0.0,0.0,79.9,251.6,2.7,0.0,31.1,370.1,366.9,,
2019-12-31 23:40:00,,360.2,0.0,0.0,75.9,248.6,5.0,0.0,30.7,370.1,360.6,,
2019-12-31 23:50:00,,355.9,0.0,0.0,70.0,248.7,6.3,0.0,30.9,370.1,356.1,,
